"Mnemonic","OemCode","Manufacturer","ESTA Man Code","Product","DMX in","DMX out","Are ports Physical","Is RDM supported","Website"
"Oem0x13f8","0x13f8","Imimot Kft","","Mitti","1","0","n","n","http://imimot.com/Mitti"
"Oem0x13f9","0x13f9","MCSWE  Technologies INC","","MCSWE LUNA 8","8","8","y","n","http://www.mcswe.com"
"Oem0x13fa","0x13fa","MCSWE  Technologies INC","","MCSWE LUNA 16","16","16","y","n","http://www.mcswe.com"
"Oem0x13fb","0x13fb","Digital Sputnik Lighting","0x098F ","DSL1","1","1","y","y","http://www.digitalsputnik.com/"
"Oem0x13fc","0x13fc","SRS Light Design","0x29A9 ","ANGS4","4","4","y","n","http://www.srslight.com"
"Oem0x13fd","0x13fd","Chauvet DJ","0x21A4 ","DMX AN","2","2","Y","N","http://www.Chauvetdj.com"
"Oem0x13fe","0x13fe","Rosstech Signals","0x034B ","DMXBridge","4","4","y","y","http://www.rosstech.ca"
"Oem0x13ff","0x13ff","LSC Lighting Systems  Aust  Pty  Ltd","0x4C73 ","Mantra Lite","0","3","y","y","http://mantralite.lsclighting.com"
"Oem0x1400","0x1400","DMT","","Pixelstrip controller MKII","1","0","n","n","http://www.highlite.nl/Shop/Products/Audiovisual/LED-Screens/Pixel-Controlled-Shapes/Controller-Pixelstrip-MKII"
"Oem0x1401","0x1401","Elation Lighting","0x22A6 ","TVL Panel DW","1","1","y","n","http://www.elationlighting.com/ProductDetails.aspx?Category=&ItemNumber=2141"
"Oem0x1402","0x1402","RGBlink","","Venus X2","0","0","N","N","http://www.rgblink.com"
"Oem0x1403","0x1403","Elation Lighting","0x22A6 ","TVL Panel DW","1","1","y","n","http://www.elationlighting.com/ProductDetails.aspx?Category=&ItemNumber=2141"
"Oem0x1404","0x1404","Elation Lighting","0x22A6 ","eNode4","1","4","y","n","http://www.elationlighting.com/ProductDetails.aspx?Category=&ItemNumber=1921"
"Oem0x1405","0x1405","Elation Lighting","0x22A6 ","eNode8 Pro","1","8","y","n","http://www.elationlighting.com/ProductDetails.aspx?Category=&ItemNumber=1930"
"Oem0x1406","0x1406","Exalux","","Connect Plus","1","1","y","n","http://www.exalux.eu/"
"Oem0x1407","0x1407","Foshan YiFeng Electric Industrial Co ltd","","CA EN28S","8","8","y","y","http://www.acme.com.cn"
"Oem0x1408","0x1408","Foshan YiFeng Electric Industrial Co ltd","","CA AN28","2","8","y","y","http://www.acme.com.cn"
"Oem0x1409","0x1409","Foshan YiFeng Electric Industrial Co ltd","","CA EN28","8","8","y","y","http://www.acme.com.cn"
"Oem0x140a","0x140a","Foshan YiFeng Electric Industrial Co ltd","","CA AN08","8","8","y","y","http://www.acme.com.cn"
"Oem0x140b","0x140b","Foshan YiFeng Electric Industrial Co ltd","","CA AN04","4","4","y","y","http://www.acme.com.cn"
"Oem_8lightspace_limited_beambar_1","0x2DA6","8lightspace limited","0x0955","Beambar","999","1","y","n","www.8lightspace.com"
"Oem_able_prime_rgb_5300_1","0x2AEB","able","0x20BB","PRIME RGB 5300","16","16","Y","Y","www.able-laser.com"
"Oem_ac_power_distribution_act_lighting_inc_pdxnd41_1","0x2AB0","AC Power Distribution ACT Lighting Inc","0x006F ","PDXND41","4","4","Y","Y","www.acpowerdistribution.com"
"Oem_acme_aeco_12_1","0x2B62","Acme","","AECO 12","2","2","Y","Y","http://www.acme.com.cn"
"Oem_acme_aeco_20_1","0x2B64","Acme","","AECO 20","2","2","Y","Y","http://www.acme.com.cn"
"Oem_acme_aeco_22_1","0x2B66","Acme","","AECO 22","2","2","Y","Y","http://www.acme.com.cn"
"Oem_acme_aeco_30_ip_1","0x2CB4","Acme","0x3806","AECO 30 IP","32768","32768","y","y","https://www.acmelighting.com"
"Oem_acme_aeco_5_1","0x2B63","Acme","","AECO 5","1","1","Y","Y","http://www.acme.com.cn"
"Oem_acme_aeco_8_1","0x2B65","Acme","","AECO 8","1","1","Y","Y","http://www.acme.com.cn"
"Oem_acme_arc_640_1","0x2C55","Acme","0x3806","ARC 640","1","1","y","y","http://www.acme.com.cn"
"Oem_acme_arc_st200_1","0x2C57","Acme","0x3806","ARC ST200","1","1","y","y","http://www.acme.com.cn"
"Oem_acme_blb_10_ip_1","0x2CB2","Acme","0x3806","BLB 10 IP","32768","32768","y","y","https://www.acmelighting.com"
"Oem_acme_blb_5_ip_1","0x2CB3","Acme","0x3806","BLB 5 IP","32768","32768","y","y","https://www.acmelighting.com"
"Oem_acme_blinder_bar_ip_1","0x2C54","Acme","0x3806","BLINDER BAR IP","1","1","y","y","http://www.acme.com.cn"
"Oem_acme_calorie_1","0x2B13","Acme","","CALORIE","2","2","Y","Y","http://www.acme.com.cn"
"Oem_acme_cm_1000z_1","0x2C53","Acme","0x3806","CM 1000Z","1","1","y","y","http://www.acme.com.cn"
"Oem_acme_cm_7_ip_1","0x2CAF","Acme","0x3806","CM 7 IP","32768","32768","y","y","https://www.acmelighting.com"
"Oem_acme_cm_s2_1","0x2C52","Acme","0x3806","CM S2","1","1","y","y","http://www.acme.com.cn"
"Oem_acme_darkmoon_1","0x2A7E","Acme","","DARKMOON","1","1","Y","Y","https://www.acme.com.cn"
"Oem_acme_deprecated1_1","0x2CAE","Acme","0x3806","Deprecated1","32768","32768","y","y","https://www.acmelighting.com"
"Oem_acme_deprecated2_1","0x2CB1","Acme","0x3806","Deprecated2","32768","32768","y","y","https://www.acmelighting.com"
"Oem_acme_deprecated3_1","0x2CB5","Acme","0x3806","Deprecated3","32768","32768","y","y","https://www.acmelighting.com"
"Oem_acme_flashbolt_1","0x2B6E","Acme","","FLASHBOLT","1","1","Y","Y","http://www.acme.com.cn"
"Oem_acme_geist_beam_1","0x2A81","Acme","","GEIST BEAM","1","1","Y","Y","https://www.acme.com.cn/"
"Oem_acme_geist_bswf_1","0x2A80","Acme","","GEIST BSWF","1","1","Y","Y","https://www.acme.com.cn/"
"Oem_acme_gemini_1","0x2B18","Acme","","GEMINI","1","1","Y","Y","http://www.acme.com.cn"
"Oem_acme_gravitron_1","0x2B16","Acme","","GRAVITRON","1","1","Y","Y","http://www.acme.com.cn"
"Oem_acme_hail_1","0x2B9C","Acme","","HAIL","1","1","Y","Y","http://www.acme.com.cn"
"Oem_acme_hue_6_ip_1","0x2C51","Acme","0x3806","HUE 6 IP","1","1","y","y","http://www.acme.com.cn"
"Oem_acme_joules_1","0x2B14","Acme","","JOULES","2","2","Y","Y","http://www.acme.com.cn"
"Oem_acme_leo_1","0x2A7D","Acme","","LEO","1","1","Y","Y","https://www.acme.com.cn"
"Oem_acme_lighting_tb_1060_1","0x2E13","Acme Lighting","0x3806","TB 1060","32768","32768","y","y","https://www.acmelighting.com"
"Oem_acme_lighting_xp_500_bsw_ip_1","0x2E12","Acme Lighting","0x3806","XP 500 BSW IP","32768","32768","y","y","https://www.acmelighting.com"
"Oem_acme_lightning_1","0x2C22","Acme","","LIGHTNING","2","2","y","y","http://www.acme.com.cn/"
"Oem_acme_lp_f3000_1","0x2C50","Acme","0x3806","LP F3000","1","1","y","y","http://www.acme.com.cn"
"Oem_acme_mb_1000_1","0x2C4F","Acme","0x3806","MB 1000","1","1","y","y","http://www.acme.com.cn"
"Oem_acme_neozone_1","0x2B6D","Acme","","NEOZONE","1","1","Y","Y","http://www.acme.com.cn"
"Oem_acme_newton_1","0x2B17","Acme","","NEWTON","1","1","Y","Y","http://www.acme.com.cn"
"Oem_acme_octopus_8_1","0x2B6F","Acme","","OCTOPUS 8","0","8","Y","Y","http://www.acme.com.cn"
"Oem_acme_pascal_1","0x2B15","Acme","","PASCAL","2","2","Y","Y","https://www.acme.com.cn"
"Oem_acme_pixel_line_ip_1","0x2B9D","Acme","","PIXEL LINE IP","1","1","Y","Y","http://www.acme.com.cn"
"Oem_acme_silvermoon_1","0x2A7F","Acme","","SILVERMOON","1","1","Y","Y","https://www.acme.com.cn/"
"Oem_acme_strobe_1_ip_1","0x2C56","Acme","0x3806","STROBE 1 IP","1","1","y","y","http://www.acme.com.cn"
"Oem_acme_strobe_7_ip_1","0x2C4E","Acme","0x3806","STROBE 7 IP","1","1","y","y","http://www.acme.com.cn"
"Oem_acme_sunrise_1","0x2A82","Acme","","SUNRISE","1","1","Y","Y","https://www.acme.com.cn/"
"Oem_acme_tb_5_1","0x2C4D","Acme","0x3806","TB 5","1","1","y","y","http://www.acme.com.cn"
"Oem_acme_tb_5_ip_1","0x2C4C","Acme","0x3806","TB 5 IP","1","1","y","y","http://www.acme.com.cn"
"Oem_acme_thunder_breaker_1","0x2B12","Acme","","THUNDER BREAKER","1","1","Y","Y","http://www.acme.com.cn"
"Oem_acme_trusshub_s_1","0x2A84","Acme","","TRUSSHUB S","1","4","Y","YES","www.acme.com.cn"
"Oem_acme_trusshub_u1_1","0x2A7C","Acme","","TRUSSHUB U1","4","4","Y","Y","https://www.acme.com.cn"
"Oem_acme_trusshub_u_1","0x2A83","Acme","","TRUSSHUB U","0","4","Y","Y","www.acme.com.cn"
"Oem_acme_trusshub_ug_1","0x2B11","Acme","","TRUSSHUB UG","0","4","N","Y","http://www.acme.com.cn"
"Oem_acme_ts_500_cw_ww_1","0x2C4B","Acme","0x3806","TS 500 CW WW","1","1","y","y","http://www.acme.com.cn"
"Oem_acme_ts_500_rgba_1","0x2C4A","Acme","0x3806","TS 500 RGBA","1","1","y","y","http://www.acme.com.cn"
"Oem_acme_xa_1000_bswf_ip_1","0x2C49","Acme","0x3806","XA 1000 BSWF IP","1","1","y","y","http://www.acme.com.cn"
"Oem_acme_xa_1000_bw_ip_1","0x2C48","Acme","0x3806","XA 1000 BW IP","1","1","y","y","http://www.acme.com.cn"
"Oem_acme_xa_1000f_1","0x2916","Acme","","XA 1000F","0","1","n","y","http://www.acme.com.cn/"
"Oem_acme_xa_2000_bswf_ip_1","0x2C47","Acme","0x3806","XA 2000 BSWF IP","1","1","y","y","http://www.acme.com.cn"
"Oem_acme_xa_600_bsw_ip_1","0x2CB7","Acme","0x3806","XA 600 BSW IP","32768","32768","y","y","https://www.acmelighting.com"
"Oem_acme_xa_600_bswf_ip_1","0x2CB6","Acme","0x3806","XA 600 BSWF IP","32768","32768","y","y","https://www.acmelighting.com"
"Oem_acme_xp_400_beam_ip_1","0x2CAD","Acme","0x3806","XP 400 BEAM IP","32768","32768","y","y","https://www.acmelighting.com"
"Oem_acme_xp_500_beam_ip_1","0x2CB0","Acme","0x3806","XP 500 BEAM IP","32768","32768","y","y","https://www.acmelighting.com"
"Oem_adb_orkis_cyc_1","0x2C95","ADB","0x4144","ORKIS CYC","1","1","y","y","www.claypaky.it"
"Oem_adb_stagelight_klemantis_as1000_1","0x2941","ADB STAGELIGHT","0x4144 ","KLEMANTIS AS1000","0","1","n","y","http://www.adbstagelight.com"
"Oem_adb_stagelight_klemantis_as500_1","0x2940","ADB STAGELIGHT","0x4144 ","KLEMANTIS AS500","0","1","n","y","http://www.adbstagelight.com"
"Oem_adb_stagelight_lexpert_fresnel_m_cw_1","0x290F","ADB STAGELIGHT","0x4144 ","LEXPERT FRESNEL M CW","0","1","n","y","http://www.adbstagelight.com"
"Oem_adb_stagelight_lexpert_fresnel_m_ww_1","0x290E","ADB STAGELIGHT","0x4144 ","LEXPERT FRESNEL M WW","0","1","n","y","http://www.adbstagelight.com"
"Oem_adb_stagelight_lexpert_profile_l_1","0x2912","ADB STAGELIGHT","0x4144 ","LEXPERT PROFILE L","0","1","n","y","http://www.adbstagelight.com"
"Oem_adb_stagelight_lexpert_profile_l_cw_1","0x2911","ADB STAGELIGHT","0x4144 ","LEXPERT PROFILE L CW","0","1","N","Y","http://www.adbstagelight.com"
"Oem_adb_stagelight_lexpert_profile_l_ww_1","0x2910","ADB STAGELIGHT","0x4144 ","LEXPERT PROFILE L WW","0","1","n","y","http://www.adbstagelight.com"
"Oem_adb_stagelight_oksalis_fl10_1","0x2988","ADB STAGELIGHT","0x4144 ","OKSALIS FL10","0","1","N","Y","www.adbstagelight.com"
"Oem_adb_stagelight_oksalis_fl20_1","0x2987","ADB STAGELIGHT","0x4144 ","OKSALIS FL20","0","1","N","Y","www.adbstagelight.com"
"Oem_adb_stagelight_orkis_focus_spot_1","0x2998","ADB STAGELIGHT","0x4144 ","ORKIS FOCUS SPOT","0","1","N","Y","www.adbstagelight.com"
"Oem_adb_stagelight_orkis_profile_m_1","0x2A32","ADB STAGELIGHT","0x4144 ","ORKIS PROFILE M","0","1","n","y","www.adbstagelight.com"
"Oem_adj_group_pixie_driver_2k_1","0x2A2A","ADJ Group","0x1900 ","Pixie Driver 2K","1","1","y","n","www.adj.com"
"Oem_adj_products,_llc_focus_profile_1","0x2E3C","ADJ Products, LLC","0x1900","Focus Profile","1","1","y","y","https://www.adj.com/products/focus-profile"
"Oem_adj_products,_llc_focus_spot_6z_1","0x2E37","ADJ Products, LLC","0x1900","Focus Spot 6Z","1","1","y","y","https://www.adj.com/products/focus-spot-6z"
"Oem_adj_products,_llc_hydro_flex_l19_1","0x2E3A","ADJ Products, LLC","0x1900","Hydro Flex L19","1","1","y","y","https://www.adj.com/products/hydro-flex-l19"
"Oem_adj_products,_llc_hydro_flex_l7_1","0x2E3B","ADJ Products, LLC","0x1900","Hydro Flex L7","1","1","y","y","https://www.adj.com/products/hydro-flex-l7"
"Oem_adj_products,_llc_pixel_driver_2000_v3_1","0x2E38","ADJ Products, LLC","0x1900","Pixel Driver 2000 V3","1","1","y","y","https://www.adj.com/products/pixie-driver-2000-v3"
"Oem_adj_products,_llc_pixel_driver_8000_v2_1","0x2E39","ADJ Products, LLC","0x1900","Pixel Driver 8000 V2","1","1","y","y","https://www.adj.com/products/pixie-driver-8000-v2"
"Oem_adj_products,_llc_protege_xl_1","0x2E45","ADJ Products, LLC","0x1900","Protege XL","1","1","y","y","https://www.adj.com/products/protege-xl"
"Oem_adj_products,_llc_protege_xm_1","0x2E46","ADJ Products, LLC","0x1900","Protege XM","1","1","y","y","https://www.adj.com/products/protege-xm"
"Oem_adj_products,_llc_vizi_xtreme_1","0x2E44","ADJ Products, LLC","0x1900","VIZI XTREME","1","1","y","y","https://www.adj.com/products/vizi-xtreme"
"Oem_adj_products_allegro_z6_1","0x29EC","ADJ PRODUCTS","0x1900 ","ALLEGRO Z6","2","2","Y","Y","https://www.adj.com/allegro-z6"
"Oem_adj_products_encore_burst_200_1","0x290B","ADJ Products","0x1900 ","Encore Burst 200","1","1","y","y","http://www.adj.com/encore-burst-200"
"Oem_adj_products_encore_burst_200b_1","0x28FF","ADJ PRODUCTS","0x1900 ","ENCORE BURST 200b","1","1","Y","Y","http://www.adj.com"
"Oem_adj_products_flash_kling_batten_1","0x2939","ADJ Products","0x1900 ","Flash Kling Batten","1","1","y","n","https://www.adj.com/flash-kling-batten"
"Oem_adj_products_flash_kling_strip_1","0x2938","ADJ Products","0x1900 ","Flash Kling Strip","1","1","y","y","https://www.adj.com/flash-kling-strip"
"Oem_adj_products_focus_cmy_compact_1","0x2E16","ADJ Products","0x1900","Focus CMY Compact","1","1","y","y","https://www.adj.com"
"Oem_adj_products_hydro_wash_x19_1","0x2A52","ADJ PRODUCTS","0x1900 ","HYDRO WASH X19","1","1","Y","Y","https://www.adj.com/hydro-wash-x19"
"Oem_adj_products_jolt_mfx_360_1","0x2E17","ADJ Products","0x1900","Jolt MFX 360","1","1","y","y","https://www.adj.com"
"Oem_adj_products_net_4_1","0x2C8B","ADJ Products","0x1900","Net 4","2","4","y","y","www.adj.com"
"Oem_adj_products_net_8_1","0x2C8A","ADJ Products","0x1900","Net 8","2","8","y","y","www.adj.com"
"Oem_adj_products_par_z100_rgbw_1","0x2923","ADJ Products","0x1900 ","Par Z100 RGBW","1","1","y","y","http://www.adj.com"
"Oem_adj_products_pixie_driver_8000_1","0x2BC8","ADJ Products","0x1900 ","Pixie Driver 8000","2","8","y","n","https://www.adj.com"
"Oem_adj_products_trusshub_u1_1","0x2A3E","ADJ Products","0x1900 ","TrussHub U1","1","4","y","y","www.adj.com"
"Oem_adj_products_vintage_bar_1","0x2D8D","ADJ Products","0x1900","Vintage Bar","1","1","y","y","https://www.adj.com/vintage-bar"
"Oem_adj_products_vizi_pix_z19_1","0x2D8C","ADJ Products","0x1900","Vizi Pix Z19","1","1","y","y","https://www.adj.com/vizi-pix-z19"
"Oem_adj_products_wifi_net_2_1","0x2C89","ADJ Products","0x1900","Wifi Net 2","1","2","y","y","www.adj.com"
"Oem_adkins_professional_lighting_6x6_watt_rgbaw_uv_flatpar_1","0x2BBD","Adkins Professional Lighting","","6x6 Watt RGBAW UV FlatPar","10","10","y","n","http://www.adkinsprolighting.com/Wireless-Hex-6-6x6w-RGBAW-and-UV-p/wireless-hex-6-b.htm"
"Oem_adl_electronics_ltd_adl_dc_wso_note_1","0x2B5B","ADL Electronics Ltd","0x089A ","ADL DC WSO Note","0","0","N","N","https://adldc.ru/index.php/catalogue/directcontrol/pulty-adl-dc/item/34-rso-adl-dc-rabochaya-stantsiya-mobilnaya"
"Oem_adl_electronics_ltd_adl_dim_220_12_1_led_1","0x2B59","ADL Electronics Ltd","0x089A ","ADL DIM 220 12 1 LED","1","1","Y","Y","https://adldc.ru/index.php/catalogue/dimmernye-bloki/item/123-adl-dim-220-12-1-es-led"
"Oem_adl_electronics_ltd_adl_dim_220_12_3_1","0x2B5A","ADL Electronics Ltd","0x089A ","ADL DIM 220 12 3","1","1","Y","Y","https://adldc.ru/index.php/catalogue/dimmernye-bloki/item/119-adl-dim-220-12-3-ek"
"Oem_adl_electronics_ltd_adl_dim_220_6_1_led_1","0x2B58","ADL Electronics Ltd","0x089A ","ADL DIM 220 6 1 LED","1","1","Y","Y","https://adldc.ru/index.php/catalogue/dimmernye-bloki/item/156-adl-dim-220-6-1-es-led"
"Oem_adl_electronics_ltd_adl_dim_220_6_5_1","0x2B57","ADL Electronics Ltd","0x089A ","ADL DIM 220 6 5","1","1","Y","Y","https://adldc.ru/index.php/catalogue/dimmernye-bloki/item/157-adl-dim-220-6-5-ek"
"Oem_adl_electronics_ltd_adl_dim_sw_220_12_3_1","0x2B54","ADL Electronics Ltd","0x089A ","ADL DIM SW 220 12 3","1","1","Y","Y","https://adldc.ru/index.php/catalogue/dimmernye-bloki/item/128-adl-dimsw-220-12-3-ek"
"Oem_adl_electronics_ltd_adl_dim_sw_220_24_3_1","0x2B53","ADL Electronics Ltd","0x089A ","ADL DIM SW 220 24 3","1","1","Y","Y","https://adldc.ru/index.php/catalogue/dimmernye-bloki/item/130-adl-dim-sw-220-24-3-ekwr"
"Oem_adl_electronics_ltd_adl_dim_sw_220_6_3_1","0x2B52","ADL Electronics Ltd","0x089A ","ADL DIM SW 220 6 3","1","1","Y","Y","https://adldc.ru/index.php/catalogue/dimmernye-bloki/item/131-adl-dimsw-220-6-3-ecf"
"Oem_adl_electronics_ltd_adl_dim_sw_220_6_5_1","0x2B51","ADL Electronics Ltd","0x089A ","ADL DIM SW 220 6 5","1","1","Y","Y","https://adldc.ru/index.php/catalogue/dimmernye-bloki/item/187-adl-dimsw-220-6-5-ek"
"Oem_adl_electronics_ltd_adl_dmx_netgate_dali_1","0x2B5E","ADL Electronics Ltd","0x089A ","ADL DMX NetGate DALI","1","1","Y","N","https://adldc.ru/index.php/catalogue/data-transfer/item/225-adl-dmx-netgate-dali"
"Oem_adl_electronics_ltd_adl_dmx_netgate_mini_1","0x2B5C","ADL Electronics Ltd","0x089A ","ADL DMX NetGate Mini","0","2","Y","N","https://adldc.ru/index.php/catalogue/data-transfer/item/231-adl-dmx-netgate-mini-rdm-xlr"
"Oem_adl_electronics_ltd_adl_dmx_netgate_spi_1","0x2B5D","ADL Electronics Ltd","0x089A ","ADL DMX NetGate SPI","0","0","N","N","https://adldc.ru/index.php/catalogue/data-transfer/item/229-adl-dmx-netgate-spi"
"Oem_adl_electronics_ltd_adl_net_server_1","0x2B50","ADL Electronics Ltd","0x089A ","ADL NET SERVER","0","0","N","N","https://adldc.ru/index.php/catalogue/directcontrol/item/35-net-server-adl-dc-server-sistemy"
"Oem_adl_electronics_ltd_adl_sw_220_12_3_1","0x2B56","ADL Electronics Ltd","0x089A ","ADL SW 220 12 3","1","1","Y","Y","https://adldc.ru/index.php/catalogue/dimmernye-bloki/item/160-adl-sw-220-12-3-ek"
"Oem_adl_electronics_ltd_adl_sw_220_6_5_1","0x2B55","ADL Electronics Ltd","0x089A ","ADL SW 220 6 5","1","1","Y","Y","https://adldc.ru/index.php/catalogue/dimmernye-bloki/item/176-adl-sw-220-6-5-ek"
"Oem_advatek_lighting_pixlite_16_mk2_1","0x2AD3","Advatek Lighting","0x6154 ","PixLite 16 Mk2","0","100","n","n","https://www.advateklights.com/"
"Oem_advatek_lighting_pixlite_16_mk2_eco_1","0x2AD2","Advatek Lighting","0x6154 ","PixLite 16 Mk2 ECO","0","36","n","n","https://www.advateklights.com/"
"Oem_advatek_lighting_pixlite_16_mk2_long_range_1","0x2AD1","Advatek Lighting","0x6154 ","PixLite 16 Mk2 Long Range","0","100","n","n","https://www.advateklights.com/"
"Oem_advatek_lighting_pixlite_16_plug_play_mk2_1","0x2ACF","Advatek Lighting","0x6154 ","PixLite 16 Plug Play Mk2","0","32","n","n","https://www.advateklights.com/"
"Oem_advatek_lighting_pixlite_16_plug_play_mk2_plus_1","0x2ACE","Advatek Lighting","0x6154 ","PixLite 16 Plug Play Mk2 plus","0","96","n","n","https://www.advateklights.com/"
"Oem_advatek_lighting_pixlite_4_mk2_1","0x2AD5","Advatek Lighting","0x6154 ","PixLite 4 Mk2","0","24","n","n","https://www.advateklights.com/"
"Oem_advatek_lighting_pixlite_4_mk2_eco_1","0x2AD4","Advatek Lighting","0x6154 ","PixLite 4 Mk2 ECO","0","16","n","n","https://www.advateklights.com/"
"Oem_advatek_lighting_pixlite_4_mk2_rugged_1","0x2AD0","Advatek Lighting","0x6154 ","PixLite 4 Mk2 Rugged","0","16","n","n","https://www.advateklights.com/"
"Oem_advatek_lighting_pixlite_a16_s_mk2_1","0x2ACB","Advatek Lighting","0x6154 ","PixLite A16 S Mk2","0","96","n","n","https://www.advateklights.com/"
"Oem_advatek_lighting_pixlite_a16_s_mk3_1","0x2AC7","Advatek Lighting","0x6154 ","PixLite A16 S Mk3","1","97","n","n","https://www.advateklights.com/"
"Oem_advatek_lighting_pixlite_a4_s_mk2_1","0x2ACC","Advatek Lighting","0x6154 ","PixLite A4 S Mk2","0","24","n","n","https://www.advateklights.com/"
"Oem_advatek_lighting_pixlite_a4_s_mk3_1","0x2AC9","Advatek Lighting","0x6154 ","PixLite A4 S Mk3","1","25","n","n","https://www.advateklights.com/"
"Oem_advatek_lighting_pixlite_a4_w_mk3_1","0x2AC8","Advatek Lighting","0x6154 ","PixLite A4 W Mk3","1","25","n","n","https://www.advateklights.com/"
"Oem_advatek_lighting_pixlite_e16_s_mk3_1","0x2B02","Advatek Lighting","0x6154 ","PixLite E16 S Mk3","1","97","n","n","https://www.advateklights.com/"
"Oem_advatek_lighting_pixlite_e4_s_mk3_1","0x2B03","Advatek Lighting","0x6154 ","PixLite E4 S Mk3","1","25","n","n","https://www.advateklights.com/"
"Oem_advatek_lighting_pixlite_t8_s_mk2_1","0x2ACD","Advatek Lighting","0x6154 ","PixLite T8 S Mk2","0","96","n","n","https://www.advateklights.com/"
"Oem_advatek_lighting_pixlite_t8_s_mk3_1","0x2ACA","Advatek Lighting","0x6154 ","PixLite T8 S Mk3","1","97","n","n","https://www.advateklights.com/"
"Oem_advatek_lighting_pty_ltd_pixlite_t16x_s_mk3_1","0x2CC4","Advatek Lighting Pty Ltd","0x6154","PixLite T16X S Mk3","0","96","n","n","http://advateklighting.com"
"Oem_aeco_10_aeco_10_1","0x2B61","AECO 10","","AECO 10","1","1","Y","Y","http://www.acme.com.cn"
"Oem_ahojpepo_eu_node1w1_1","0x2BAE","AhojPepo eu","","Node1w1","1","1","y","y","http://ahojpepo.eu"
"Oem_ainetauto_lj_1","0x2922","ainetauto","","LJ","1024","1024","Y","Y",""
"Oem_aircoookie_wled_1","0x2BF0","Aircoookie","","WLED","20","0","n","n","https://kno.wled.ge"
"Oem_akatsuki_node_10_1","0x2B45","Akatsuki","","Node 10","2","8","N","Y",""
"Oem_ala_equipment_company_ltd_powernet_1","0x2A9F","ALA Equipment Company Ltd","","PowerNet","0","4","n","n","https://www.alacyprus.com/"
"Oem_alex_sagias_pixled_1","0x29B1","Alex Sagias","","PixLed","0","80","y","n",""
"Oem_alexin_smart_integrations_rti_colorpicker_driver_1","0x2B73","Alexin Smart Integrations","","RTI colorpicker driver","4","4","n","n","https://forums.rticorp.com/index.php?topic=27387.0"
"Oem_allrounddigital_cuewise_audio_1","0x2BEF","allroundDigital","","cuewise Audio","0","0","n","n","https://cuewise.io"
"Oem_alpha_lite_alpha_lite_1","0x2B90","ALPHA LITE","0x01C9 ","ALPHA LITE","0","1","y","y","http://alpha-lite.net"
"Oem_ambion_gmbh_ambrain_flex_led_gate_1","0x2973","Ambion Gmbh Ambrain","0x00BC ","Flex Led Gate","0","1","y","y","www.ambion.de"
"Oem_amolvin_dmx_node_1","0x29A4","AMOLVIN","0x02EB ","DMX NODE","4","4","n","n","http://www.amolvin.com"
"Oem_aputure_imaging_industries_co_ltd_ls_600_ls_1500_1","0x2AA1","Aputure Imaging Industries Co Ltd","0x0009 ","LS 600 LS 1500","4","4","y","y","http://www.aputure.com"
"Oem_aputure_imaging_industries_co_ltd_sq_net_1","0x2AA2","Aputure Imaging Industries Co Ltd","0x0009 ","SQ NET","4","4","y","y","http://www.aputure.com"
"Oem_archon_archon_dev_1","0x2A1A","Archon","","Archon Dev","512","512","n","y","https://www.sontan.net/"
"Oem_arctos_showlasertechnik_gmbh_orbit_1","0x2C60","ARCTOS Showlasertechnik GmbH","0x09BE","Orbit","0","1","n","n","https://www.arctoslaser.de"
"Oem_argetron_norval_1","0x2C31","ARGETRON","0x09C1 ","Norval","0","4","y","n","https://argetron.com/products/norval-art-net/"
"Oem_arkaos_mediamaster6_1","0x2B8F","Arkaos","0x0212","MediaMaster6","16","0","n","n","https://pro.arkaos.com/"
"Oem_arpschuino_arpschuino32_1","0x2BE6","arpschuino","","arpschuino32","1","1","y","n","https://arpschuino.fr"
"Oem_arrigo_lighting_al_a4rgb_1","0x2927","Arrigo Lighting","0x0280 ","AL A4RGB","0","1","n","n","http://arrigolighting.com"
"Oem_arrigo_lighting_al_ws2812b_1","0x2979","Arrigo Lighting","0x0280 ","AL WS2812B","0","4","n","n","http://arrigolighting.com"
"Oem_arrigo_lighting_arrigo_lighting_liberty_22_1","0x2929","Arrigo Lighting","0x0280 ","Arrigo Lighting Liberty 22","0","1","y","n","http://arrigolighting.com"
"Oem_artistic_licence_artcore_1","0x2D7C","Artistic Licence","0x414c","artCore","4","4","n","n","https://artisticlicence.com/"
"Oem_artistic_licence_engineering_ltd_rack_data_8_rdm_1","0x2CFC","Artistic Licence Engineering Ltd","0x414c","RACK DATA 8 RDM","0","8","y","y","www.ArtisticLicence.com"
"Oem_artistic_licence_engineering_ltd_rack_gateway_12_rdm_1","0x2CFD","Artistic Licence Engineering Ltd","0x414c","RACK GATEWAY 12 RDM","0","12","y","y","www.ArtisticLicence.com"
"Oem_artistic_licence_engineering_ltd_truss_gateway_4_rdm_1","0x2CFB","Artistic Licence Engineering Ltd","0x414c","TRUSS GATEWAY 4 RDM","0","4","y","y","www.ArtisticLicence.com"
"Oem_ashl_ee_triggerino_1","0x2DDD","ashl ee","","Triggerino","1","8","n","n","ashl.ee/triggerino"
"Oem_astera_asterabox_wifi_1","0x2BF9","Astera","0x4173 ","AsteraBox Wifi","1","1","Y","N","https://astera-led.com"
